Date,Price,Open,High,Low,Change %
12-Jan-20,58.94,59.12,59.12,58.73,-0.39%
10-Jan-20,59.17,59.53,59.8,58.88,-0.64%
09-Jan-20,59.55,59.98,60.31,58.7,-0.70%
08-Jan-20,59.97,64.92,65.67,59.17,-7.62%
07-Jan-20,64.92,62.98,65.48,62.16,3.06%
06-Jan-20,62.99,63.86,64.75,62.69,-1.41%
05-Jan-20,63.89,63.84,64.3,63.64,1.25%
03-Jan-20,63.1,61.2,64.11,61.16,3.12%
02-Jan-20,61.19,61.42,61.48,60.73,-0.05%
31-Dec-19,61.22,61.67,61.92,60.67,-0.76%
30-Dec-19,61.69,61.77,62.38,61.16,-0.13%
29-Dec-19,61.77,61.73,61.78,61.7,0.05%
27-Dec-19,61.74,61.74,62.02,61.28,0.02%
26-Dec-19,61.73,61.31,61.87,61.13,0.93%
24-Dec-19,61.16,60.63,61.17,60.53,0.86%
23-Dec-19,60.64,60.49,60.83,60.16,0.21%
22-Dec-19,60.51,60.44,60.52,60.39,0.12%
20-Dec-19,60.44,61.13,61.26,60.11,-1.14%
19-Dec-19,61.14,60.88,61.47,60.77,0.43%
18-Dec-19,60.88,60.58,61.16,60.31,0.55%
17-Dec-19,60.55,60.12,61.03,60.02,0.72%
16-Dec-19,60.12,59.77,60.33,59.74,0.60%
15-Dec-19,59.76,59.87,59.88,59.76,-0.03%
13-Dec-19,59.78,59.58,60.41,59.27,0.37%
12-Dec-19,59.56,58.9,59.7,58.74,1.10%
11-Dec-19,58.91,59.05,59.17,58.09,-0.25%
10-Dec-19,59.06,58.86,59.48,58.52,0.37%
09-Dec-19,58.84,58.93,59.22,58.23,-0.17%
08-Dec-19,58.94,59.13,59.15,58.94,-0.29%
06-Dec-19,59.11,58.33,59.8,57.66,1.37%
05-Dec-19,58.31,58.38,59.05,58.06,-0.12%
04-Dec-19,58.38,56.38,58.59,56.23,3.57%
03-Dec-19,56.37,56.01,56.72,55.31,0.68%
02-Dec-19,55.99,55.77,56.62,55.59,0.41%
01-Dec-19,55.76,55.45,55.77,55.42,0.72%
29-Nov-19,55.36,58.02,58.11,54.97,-4.57%
28-Nov-19,58.01,57.89,58.22,57.58,0.17%
27-Nov-19,57.91,58.19,58.61,57.45,-0.50%
26-Nov-19,58.2,57.86,58.47,57.7,0.57%
25-Nov-19,57.87,57.91,58.05,57.14,-0.09%
24-Nov-19,57.92,57.88,57.97,57.76,0.14%
22-Nov-19,57.84,58.24,58.64,57.41,-0.72%
21-Nov-19,58.26,56.88,58.58,56.52,2.43%
20-Nov-19,56.88,55.27,57.27,54.78,2.93%
19-Nov-19,55.26,56.91,57.09,55.08,-2.90%
18-Nov-19,56.91,57.74,58.05,56.55,-1.42%
17-Nov-19,57.73,57.83,57.86,57.64,-0.22%
15-Nov-19,57.86,56.97,57.92,56.41,1.60%
14-Nov-19,56.95,57.37,57.74,56.6,-0.75%
13-Nov-19,57.38,56.62,57.48,56.16,1.34%
12-Nov-19,56.62,56.59,57.48,56.52,0.05%
11-Nov-19,56.59,57.05,57.27,56.2,-0.82%
10-Nov-19,57.06,57.3,57.3,56.98,-0.52%
08-Nov-19,57.36,56.88,57.39,55.7,0.84%
07-Nov-19,56.88,56.26,57.77,56.2,1.14%
06-Nov-19,56.24,56.99,57.72,56.05,-1.35%
05-Nov-19,57.01,56.48,57.41,56.22,0.94%
04-Nov-19,56.48,56.09,57.33,55.74,0.66%
03-Nov-19,56.11,56.23,56.27,56.11,0.11%
01-Nov-19,56.05,53.98,56.05,53.98,3.85%
31-Oct-19,53.97,54.78,55.47,53.62,-1.44%
30-Oct-19,54.76,55.38,55.61,54.31,-1.08%
29-Oct-19,55.36,55.69,55.77,54.48,-0.61%
