Date,Price,Open,High,Low,Change %
02-Mar-20,16.751,16.69,17.059,16.505,0.39%
28-Feb-20,16.687,17.724,17.878,16.385,-5.85%
27-Feb-20,17.722,17.908,18.146,17.625,-1.03%
26-Feb-20,17.907,18.005,18.226,17.784,-0.58%
25-Feb-20,18.011,18.642,18.675,17.879,-3.39%
24-Feb-20,18.642,18.49,18.963,18.485,0.84%
21-Feb-20,18.488,18.368,18.647,18.344,0.63%
20-Feb-20,18.371,18.423,18.463,18.214,-0.29%
19-Feb-20,18.425,18.169,18.47,18.142,1.40%
18-Feb-20,18.171,17.795,18.244,17.775,2.23%
17-Feb-20,17.775,17.75,17.918,17.693,0.17%
14-Feb-20,17.745,17.647,17.83,17.615,0.56%
13-Feb-20,17.646,17.484,17.753,17.47,0.93%
12-Feb-20,17.484,17.652,17.692,17.451,-0.94%
11-Feb-20,17.651,17.774,17.831,17.559,-0.70%
10-Feb-20,17.775,17.7,17.856,17.667,0.43%
07-Feb-20,17.698,17.828,17.879,17.629,-0.72%
06-Feb-20,17.827,17.615,17.903,17.596,1.21%
05-Feb-20,17.614,17.597,17.745,17.471,0.10%
04-Feb-20,17.597,17.675,17.803,17.51,-0.44%
03-Feb-20,17.675,18.05,18.11,17.58,-2.10%
31-Jan-20,18.054,17.841,18.111,17.783,1.18%
30-Jan-20,17.843,17.559,18.056,17.541,1.61%
29-Jan-20,17.56,17.454,17.605,17.374,0.61%
28-Jan-20,17.454,18.103,18.132,17.436,-3.59%
27-Jan-20,18.104,18.11,18.354,18.036,-0.02%
24-Jan-20,18.107,17.802,18.169,17.733,1.71%
23-Jan-20,17.803,17.837,17.924,17.599,-0.19%
22-Jan-20,17.836,17.791,17.947,17.669,0.25%
21-Jan-20,17.792,18.065,18.173,17.625,-1.65%
20-Jan-20,18.09,18.02,18.143,17.985,0.40%
17-Jan-20,18.018,17.951,18.19,17.892,0.37%
16-Jan-20,17.951,18.001,18.061,17.862,-0.28%
15-Jan-20,18,17.795,18.056,17.735,1.13%
14-Jan-20,17.799,17.974,17.984,17.667,-0.97%
13-Jan-20,17.974,18.1,18.13,17.91,-0.71%
10-Jan-20,18.102,17.909,18.174,17.825,1.08%
09-Jan-20,17.909,18.095,18.22,17.791,-1.02%
08-Jan-20,18.093,18.402,18.855,18.04,-1.65%
07-Jan-20,18.397,18.153,18.45,17.934,1.35%
06-Jan-20,18.152,18.04,18.52,18.001,0.60%
03-Jan-20,18.044,18.025,18.287,17.985,0.12%
02-Jan-20,18.023,17.865,18.121,17.774,0.94%
01-Jan-20,17.855,17.85,17.865,17.85,0.03%
31-Dec-19,17.85,17.925,18.17,17.805,-0.42%
30-Dec-19,17.926,17.76,17.99,17.76,0.91%
27-Dec-19,17.764,17.897,17.994,17.734,-0.74%
26-Dec-19,17.896,17.776,18.062,17.715,0.57%
24-Dec-19,17.795,17.433,17.808,17.371,2.08%
23-Dec-19,17.432,17.2,17.47,17.165,1.34%
20-Dec-19,17.202,17.07,17.272,17.009,0.80%
19-Dec-19,17.066,17.017,17.14,16.88,0.29%
18-Dec-19,17.017,17.012,17.09,16.869,0.03%
17-Dec-19,17.012,17.04,17.128,16.945,-0.17%
16-Dec-19,17.041,16.956,17.106,16.88,0.58%
13-Dec-19,16.942,16.93,17.034,16.825,0.03%
12-Dec-19,16.936,16.862,17.135,16.758,0.43%
11-Dec-19,16.862,16.665,16.98,16.58,1.19%
10-Dec-19,16.664,16.625,16.732,16.559,0.32%
09-Dec-19,16.611,16.56,16.703,16.518,0.22%
06-Dec-19,16.575,16.955,17.013,16.521,-2.26%
05-Dec-19,16.958,16.848,17.035,16.802,0.64%
04-Dec-19,16.85,17.175,17.312,16.786,-1.87%
03-Dec-19,17.171,16.905,17.22,16.86,1.55%
02-Dec-19,16.91,16.995,17.028,16.805,-0.71%
29-Nov-19,17.03,16.92,17.06,16.848,0.65%
28-Nov-19,16.92,16.955,17.049,16.875,-0.19%
27-Nov-19,16.952,17.078,17.114,16.915,-0.74%
26-Nov-19,17.078,16.905,17.129,16.802,0.99%
25-Nov-19,16.91,17.01,17.035,16.84,-0.61%
22-Nov-19,17.014,17.107,17.26,16.98,-0.54%
21-Nov-19,17.107,17.145,17.209,17.031,-0.19%
20-Nov-19,17.14,17.145,17.227,17.02,-0.03%
19-Nov-19,17.146,17.035,17.211,16.964,0.67%
18-Nov-19,17.031,16.96,17.085,16.733,0.43%
15-Nov-19,16.959,17.022,17.046,16.815,-0.37%
14-Nov-19,17.022,16.964,17.126,16.869,0.35%
13-Nov-19,16.963,16.784,17.051,16.75,1.07%
12-Nov-19,16.784,16.862,16.924,16.638,-0.48%
11-Nov-19,16.865,16.81,16.963,16.647,0.35%
08-Nov-19,16.806,17.119,17.142,16.69,-1.82%
07-Nov-19,17.118,17.635,17.695,16.982,-2.91%
